name,t_ms,in_size_bytes,out_size_bytes,nlines
base/third_party/xdg_mime/xdgmimeint.c,79,56860,3984,2010
third_party/angle/src/compiler/glslang_tab.cpp,3968,861707,134176,31612
base/third_party/xdg_mime/xdgmimeparent.c,109,76935,5168,2636
base/third_party/xdg_mime/xdgmimecache.c,356,171460,15728,5494
base/third_party/xdg_mime/xdgmimemagic.c,204,109335,8584,4496
third_party/webrtc/modules/audio_processing/aec/aec_core_sse2.c,323,170347,7280,5719
third_party/webrtc/modules/audio_processing/aec/aec_rdft_sse2.c,196,129371,6648,4198
native_client/src/trusted/service_runtime/arch/x86_64/nacl_switch_64.S,377,2763,1013,129
native_client/src/trusted/service_runtime/arch/x86_64/nacl_syscall_64.S,353,2730,1360,95
native_client/src/trusted/gdb_rsp/util.cc,788,593241,13152,23408
native_client/src/trusted/service_runtime/arch/x86_64/sel_addrspace_x86_64.c,310,201476,2984,8332
native_client/src/trusted/service_runtime/arch/x86_64/tramp_64.S,220,1600,967,41
third_party/WebKit/Source/ThirdParty/glu/libtess/memalloc.c,94,41507,1240,1515
native_client/src/trusted/gdb_rsp/packet.cc,981,585920,17792,23157
native_client/src/trusted/gdb_rsp/session.cc,996,586777,15176,23187
native_client/src/trusted/gdb_rsp/abi.cc,1032,338277,24312,13309
native_client/src/trusted/service_runtime/arch/x86_64/nacl_app_64.c,888,200538,1272,8376
native_client/src/trusted/service_runtime/arch/x86_64/sel_addrspace_posix_x86_64.c,472,202535,4072,8360
native_client/src/trusted/gdb_rsp/host.cc,1412,668290,55680,26411
native_client/src/trusted/gdb_rsp/target.cc,1481,671383,42696,26586
third_party/WebKit/Source/ThirdParty/glu/libtess/tessmono.c,526,34361,3680,1320
third_party/WebKit/Source/ThirdParty/glu/libtess/render.c,869,23781,7752,812
third_party/WebKit/Source/ThirdParty/glu/libtess/mesh.c,755,41177,8168,1780
third_party/WebKit/Source/ThirdParty/glu/libtess/tess.c,1542,51317,13648,2017
native_client/src/trusted/service_runtime/arch/x86_64/sel_rt_64.c,1115,200771,2592,8451
native_client/src/trusted/service_runtime/linux/nacl_signal_64.c,1066,78399,1944,3969
third_party/WebKit/Source/ThirdParty/glu/libtess/sweep.c,834,66633,17912,2551
third_party/WebKit/Source/ThirdParty/glu/libtess/normal.c,736,52670,3744,1485
third_party/WebKit/Source/ThirdParty/glu/libtess/priorityq.c,702,44902,8952,1683
native_client/src/trusted/service_runtime/arch/x86_64/nacl_tls_64.c,1439,133724,5912,5808
third_party/webrtc/system_wrappers/source/sort.cc,2200,391408,104488,14453
native_client/src/trusted/service_runtime/arch/x86_64/nacl_switch_to_app_64.c,1911,206322,2536,8603
native_client/src/trusted/service_runtime/arch/x86_64/sel_ldr_x86_64.c,1647,225738,6528,9052
third_party/WebKit/Source/ThirdParty/glu/libtess/dict.c,462,29302,2936,1183
third_party/WebKit/Source/ThirdParty/glu/libtess/geom.c,149,10168,5144,319
