name,t_ms,in_size_bytes,out_size_bytes,nlines
sdch/open-vcdiff/src/vcdiffengine.cc,796,746635,7288,28305
v8/src/ia32/lithium-codegen-ia32.cc,6706,2075535,161760,69241
third_party/angle/src/compiler/preprocessor/atom.c,230,51909,6768,2126
sdch/open-vcdiff/src/vcdecoder.cc,1113,781821,23836,29564
third_party/angle/src/compiler/debug.cpp,933,865799,408,32400
third_party/angle/src/compiler/DetectRecursion.cpp,1033,833255,6396,31414
third_party/angle/src/compiler/InfoSink.cpp,743,807169,3524,30361
third_party/angle/src/compiler/ForLoopUnroll.cpp,867,832160,4024,31313
third_party/angle/src/compiler/BuiltInFunctionEmulator.cpp,1226,864945,12324,32457
third_party/angle/src/compiler/PoolAlloc.cpp,355,221806,3984,8792
third_party/angle/src/compiler/preprocessor/cppstruct.c,101,38549,2448,1517
third_party/angle/src/compiler/IntermTraverse.cpp,1016,827697,6804,31334
third_party/angle/src/compiler/util.cpp,620,694541,1736,26069
third_party/angle/src/compiler/Compiler.cpp,1505,878098,14380,32863
third_party/angle/src/compiler/preprocessor/memory.c,80,32604,1024,1205
third_party/angle/src/compiler/ossource_posix.cpp,82,42444,620,1638
third_party/angle/src/compiler/RemoveTree.cpp,762,825317,1588,31143
third_party/angle/src/compiler/QualifierAlive.cpp,800,824970,1588,31109
third_party/angle/src/compiler/preprocessor/symbols.c,99,43588,2260,1692
v8/src/ia32/lithium-ia32.cc,7382,1987193,235148,66127
third_party/angle/src/compiler/parseConst.cpp,1075,872148,6080,32621
media/base/cpu_features_x86.cc,79,1544,536,88
third_party/angle/src/compiler/preprocessor/scanner.c,233,60658,7912,2067
third_party/angle/src/compiler/preprocessor/cpp.c,446,76300,19424,2791
third_party/angle/src/compiler/MapLongVariableNames.cpp,1422,833148,20220,31409
third_party/angle/src/compiler/preprocessor/tokens.c,224,52606,5308,2092
third_party/angle/src/compiler/intermOut.cpp,1521,867335,30220,32408
third_party/libevent/evbuffer.c,158,56808,4232,2300
third_party/libevent/buffer.c,188,64418,4016,2546
third_party/libevent/evutil.c,101,69509,1060,2593
third_party/libevent/log.c,104,52290,1980,2046
